AAF	AIGLE AZUR - France	AIGLE AZUR
AAL	AMERICAN AIRLINES INC. - United States of America	AMERICAN
AAR	ASIANA AIRLINES - Republic of Korea	ASIANA
ABD	AIR ATLANTA ICELANDIC - Iceland	ATLANTA
ABR	AIR CONTRACTORS (IRELAND) LTD - Ireland	CONTRACT
ABW	AIRBRIDGE CARGO AIRLINES LTD - Russian Federation	AIRBRIDGE CARGO
ABX	ABX AIR, INC. (WILMINGTON, OH) - United States of America	ABEX
ABY	AIR ARABIA - United Arab Emirates	ARABIA
ACA	AIR CANADA - Canada	AIR CANADA
ACH	Air Child - Germany	AIRCHILD
ACI	AIR CALEDONIE INTERNATIONAL - France	AIRCALIN
ADR	ADRIA AIRWAYS - Slovenia	ADRIA
AEA	AIR EUROPA - Spain	EUROPA
AEE	AEGEAN AIRLINES - Greece	AEGEAN
AEY	AIR ITALY S.P.A. - Italy	AIR ITALY
AFL	AEROFLOT - RUSSIAN AIRLINES - Russian Federation	AEROFLOT
AFR	AIR FRANCE - France	AIRFRANS
AFW	AFRICA WORLD AIRLINES LIMITED - Ghana	BLACKSTAR
AHK	AHK AIR HONG KONG LIMITED - China	AIR HONG KONG
AHY	AZERBAIJAN HAVA YOLLARI, NATIONAL AIRLINE - Azerbaijan	AZAL
AIC	AIR INDIA LIMITED - India	AIRINDIA
AIJ	ABC AEROLINEAS, S.A. DE C.V. - Mexico	ABC AEROLINEAS
AIZ	ARKIA ISRAEL INLAND AIRLINES - Israel	ARKIA
AJX	AIR JAPAN CO., LTD - Japan	AIR JAPAN
AKX	ANA WINGS CO., LTD - Japan	ALFA WING
ALK	SRILANKAN AIRLINES - Sri Lanka	SRILANKAN
AMC	AIR MALTA PLC. - Malta	AIR MALTA
AMU	AIR MACAU - China	AIR MACAU
AMX	AEROVIAS DE MEXICO, S.A. DE C.V. - Mexico	AEROMEXICO
ANA	ALL NIPPON AIRWAYS CO., LTD. - Japan	ALL NIPPON
ANE	AIR NOSTRUM LINEAS AEREAS DEL MEDITERRANEO, S.A. - Spain	NOSTRU AIR
ANG	AIR NIUGINI - Papua New Guinea	NIUGINI
ANS	ANDES LINEAS AEREAS, S.A. - Argentina	AEROANDES
ANZ	AIR NEW ZEALAND LTD - New Zealand	NEW ZEALAND
APK	AEROPRAKT K.Z. - Kazakhstan	AEROPRAKT
ARA	ARIK AIR LTD - Nigeria	ARIK AIR
ARE	AIRES, AEROVIAS DE INTEGRACION REGIONAL S.A. - Colombia	AIRES
ARG	AEROLINEAS ARGENTINAS - Argentina	ARGENTINA
ART	SMART LYNX AIRLINES LTD - Latvia	SMART LYNX
ASA	ALASKA AIRLINES INC. - United States of America	ALASKA
ASH	MESA AVIATION SERVICES, INC. (FARMINGTON, NM) - United States of America	AIR SHUTTLE
ASL	SPURLING AVIATION (SEATTLE, WA) - United States of America	AIR SEATTLE
ASQ	ATLANTIC SOUTHEAST AIRLINES (ATLANTA, GA) - United States of America	ACEY
AUA	AUSTRIAN AIRLINES (AUA) AG - Austria	AUSTRIAN
AUI	UKRAINE INTERNATIONAL AIRLINES - Ukraine	UKRAINE INTERNATIONAL
AUL	NORDAVIA-REGIONAL AIRLINES, JSC - Russian Federation	ARCHANGELSK AIR
AUT	CIELOS DEL SUR S.A. - AUSTRAL - Argentina	AUSTRAL
AVA	AVIANCA, AEROVIAS NACIONALES DE COLOMBIA, S.A. - Colombia	AVIANCA
AVN	AIR VANUATU - Vanuatu	AIR VAN
AWC	TITAN AIRWAYS LTD - United Kingdom of Great Britain and Northern Ireland	ZAP
AWI	AIR WISCONSIN AIRLINES CORPORATION (APPLETON, WI) - United States of America	WISCONSIN
AXB	AIR INDIA EXPRESS - India	EXPRESS INDIA
AXE	AIREXPLORE, S.R.O. - Slovakia	GALILEO
AZA	ALITALIA - COMPAGNIA AEREA ITALIANA S.P.A. - Italy	ALITALIA
AZU	AZUL LINHAS AEREAS BRASILEIRAS S/A - Brazil	AZUL
BAW	BRITISH AIRWAYS - United Kingdom of Great Britain and Northern Ireland	SPEEDBIRD
BBC	BANGLADESH BIMAN - Bangladesh	BANGLADESH
BBR	SANTA BARBARA AIRLINES, C.A. - Venezuela (Bolivarian Republic of)	SANTA BARBARA
BCS	EUROPEAN AIR TRANSPORT - Germany	EUROTRANS
BCY	CITYJET - Ireland	CITY-IRELAND
BEE	JERSEY EUROPEAN T/A FLYBE - United Kingdom of Great Britain and Northern Ireland	JERSEY
BEL	BRUSSELS AIRLINES  - Belgium	BEELINE
BER	AIR BERLIN PLC & CO. LUFTVERKEHRS KG - Germany	AIR BERLIN
BGH	BH AIR - Bulgaria	BALKAN HOLIDAYS
BHP	BELAIR AIRLINES AG - Switzerland	BELAIR
BHS	BAHAMAS AIR HOLDINGS LTD. - Bahamas	BAHAMAS
BKP	BANGKOK AIRWAYS - Thailand	BANGKOK AIR
BMR	BRITISH MIDLAND REGIONAL LTD - United Kingdom of Great Britain and Northern Ireland	KITTIWAKE
BOS	OPENSKIES - France	MISTRAL
BOT	AIR BOTSWANA (PTY.), LTD. - Botswana	BOTSWANA
BOV	BOLIVIANA DE AVIACION - Bolivia (Plurinational State of)	+
BPA	BLUE PANORAMA AIRLINES SPA - Italy	BLUE PANORAMA
BRJ	BORA JET HAVACILIK TASIMACILIK UCAK BAKIM ONARIM VE TICARET A.S. - Turkey	BORA JET
BRU	BELAVIA - Belarus	BELARUS AVIA
BRX	BUFFALO EXPRESS AIRLINES, INC. (BUFFALO, NY) - United States of America	BUFF EXPRESS
BTI	AIR BALTIC CORPORATION JSC - Latvia	AIRBALTIC
BWA	CARIBBEAN AIRLINES LIMITED - Trinidad and Tobago	CARIBBEAN AIRLINES
CAI	TURISTIK HAVA TASIMACILIK A.S. - Turkey	CORENDON
CAJ	AIR CARAIBES ATLANTIQUE - France	CAR LINE
CAW	COMAIR LTD - South Africa	COMMERCIAL
CAY	CAYMAN AIRWAYS LTD. - United Kingdom of Great Britain and Northern Ireland	CAYMAN
CBJ	BEIJING CAPITAL AIRLINES CO., LTD - China	CAPITAL JET
CCA	AIR CHINA - China	AIR CHINA
CCM	CORSE-MEDITERRANEE, COMPAGNIE - France	CORSICA
CDC	CDI CARGO AIRLINES CO., LTD - China	HUALONG
CDG	SHANDONG AIRLINES - China	SHANDONG
CES	CHINA EASTERN AIRLINES - China	CHINA EASTERN
CFG	CONDOR FLUGDIENST GMBH, KELSTERBACH (SITZ) - Germany	CONDOR
CHB	CHINA WEST AIR CO., LTD - China	WEST CHINA
CHH	HAINAN AIRLINES - China	HAINAN
CIM	CIMBER AIR A/S - Denmark	CIMBER
CJT	CARGOJET AIRWAYS LTD - Canada	CARGOJET
CKK	CHINA CARGO AIRLINES LTD - China	CARGO KING
CKS	KALITTA AIR, LLC (YPSILANTI, MI) - United States of America	CONNIE
CLH	LUFTHANSA CITYLINE GMBH - Germany	HANSALINE
CLX	CARGOLUX AIRLINES INTERNATIONAL S.A. - Luxembourg	CARGOLUX
CMP	COMPANIA PANAMENA DE AVIACION, S.A. - Panama	COPA
CPA	CATHAY PACIFIC AIRWAYS LTD. - China	CATHAY
CPZ	COMPASS AIRLINES (CHANTILLY, VA) - United States of America	COMPASS ROSE
CQH	SPRING AIRLINES CO., LTD - China	AIR SPRING
CRK	HONG KONG AIRLINES LTD - China	BAUHINIA
CRL	CORSE AIR INTERNATIONAL - France	CORSAIR
CSA	CZECH AIRLINES J.S.C. - Czech Republic	CSA-LINES
CSC	SI CHUAN AIRLINES - China	SI CHUAN
CSH	SHANGHAI AIRLINES - China	SHANGHAI AIR
CSN	CHINA SOUTHERN AIRLINES - China	CHINA SOUTHERN
CSS	SF AIRLINES COMPANY LTD - China	SHUN FENG
CSZ	SHENZHEN AIRLINES - China	SHENZHEN AIR
CTN	CROATIA AIRLINES - Croatia	CROATIA
CUB	CUBANA DE AVIACION S.A. - Cuba	CUBANA
CXA	XIAMEN AIRLINES - China	XIAMEN AIR
CYL	AIR ONE CITYLINER SPA - Italy	CITYLINER
CYZ	CHINA POSTAL AIRLINES LTD - China	CHINA POST
DAH	AIR ALGERIE - Algeria	AIR ALGERIE
DAL	DELTA AIR LINES, INC. - United States of America	DELTA
DAN	DANA AIRLINES LIMITED - Nigeria	DANACO
DHK	DHL AIR LIMITED - United Kingdom of Great Britain and Northern Ireland	WORLD EXPRESS
DHX	DHL AVIATION EEMEA B.S.C.(C) - Bahrain	DILMUN
DKH	JUNEYAO AIRLINES CO., LTD - China	AIR JUNEYAO
DLA	AIR DOLOMITI - Italy	DOLOMITI
DLH	DEUTSCHE LUFTHANSA, A.G. - Germany	LUFTHANSA
DNU	DOT LT - Lithuania	DANU
DSM	LAN ARGENTINA S.A. - Argentina	LAN AR
DTA	TAAG, LINHAS AEREAS DE ANGOLA (ANGOLA AIRLINES) - Angola	DTA
DTH	TASSILI AIRLINES - Algeria	TASSILI AIR
DTR	DANISH AIR TRANSPORT A/S - Denmark	DANISH
DWT	DARWIN AIRLINE SA - Switzerland	DARWIN
EDW	EDELWEISS AIR AG - Switzerland	EDELWEISS
EIN	AER LINGUS TEORANTA - Ireland	SHAMROCK
ELY	EL AL - ISRAEL AIRLINES LTD. - Israel	ELAL
ESF	ESTAFETA CARGA AEREA, S.A. DE C.V. - Mexico	ESTAFETA
ESR	EASTARJET - Republic of Korea	EASTARJET
ETD	ETIHAD AIRWAYS - United Arab Emirates	ETIHAD
ETH	ETHIOPIAN AIRLINES CORPORATION - Ethiopia	ETHIOPIAN
EWG	EUROWINGS AG, NURNBERG - Germany	EUROWINGS
EXY	SA EXPRESS AIRWAYS - South Africa	EXPRESSWAYS
FAT	FARNAIR SWITZERLAND AG - Switzerland	FARNER
FCM	FINNISH COMMUTER AIRLINES OY - Finland	FINNCOMM
FDB	FLYDUBAI - United Arab Emirates	SKY DUBAI
FDX	FEDERAL EXPRESS CORPORATION (LITTLE ROCK, AR) - United States of America	FEDEX
FHY	FREE BIRD AIRLINES (HURKUS HAVAYOLU TASIMACILIK VE TICARET A.S.) - Turkey	FREEBIRD AIR
FIN	FINNAIR OYJ - Finland	FINNAIR
FJA	FIJI AIRLINES LIMITED - Fiji	PAC SUN
FJI	AIR PACIFIC LIMITED - Fiji	PACIFIC
FLG	PINNACLE AIRLINES, INC. D/B/A NORTHWEST  AIRLINK (MEMPHIS, TN) - United States of America	FLAGSHIP
FWI	AIR CARAIBES - France	FRENCH WEST
GAP	AIR PHILIPPINES CORPORATION - Philippines	AIRPHIL
GCR	TIANJIN AIRLINES CO., LTD - China	BO HAI
GEC	LUFTHANSA CARGO AG, - Germany	LUFTHANSA CARGO
GFA	GULF AIR - Bahrain	GULF AIR
GGN	AIR GEORGIAN LTD - Canada	GEORGIAN
GIA	GARUDA INDONESIA AIRWAYS, PT. - Indonesia	INDONESIA
GJS	GOJET AIRLINES, LLC. (ST. LOUIS, MO) - United States of America	LINDBERGH
GLG	AEROLINEAS GALAPAGOS S.A. (AEROGAL) - Ecuador	AEROGAL
GLO	VRG LINHAS AEREAS S.A. - Brazil	GOL TRANSPORTE
GLP	GLOBUS - Russian Federation	GLOBUS
GMI	GERMANIA FLUGGESELLSCHAFT KOLN - Germany	GERMANIA
GOW	GO AIRLINES (INDIA) PRIVATE LIMITED - India	GOAIR
GTI	ATLAS AIR, INC. (JAMAICA, NY) - United States of America	GIANT
GUG	EMPRESA GUATEMALTECA DE AVIACION (AVIATECA) - Guatemala	AVIATECA
GWI	GERMANWINGS GMBH, DORTMUND - Germany	GERMAN WINGS
HAL	HAWAIIAN AIRLINES - United States of America	HAWAIIAN
HDA	HONG KONG DRAGON AIRLINES (HDA) - China	DRAGON
HFY	HI FLY - Portugal	SKY FLYER
HHN	HAHN AIR-LINES GMBH, LAUTZENHAUSEN - Germany	ROOSTER
HKE	HONG KONG EXPRESS AIRWAYS LTD - China	HONGKONG SHUTTLE
HVN	HANG KHONG VIET NAM - Viet Nam	VIET NAM AIRLINES
HXA	CHINA EXPRESS AIRLINES CO., LTD - China	CHINA EXPRESS
IBB	BINTER CANARIAS - Spain	-
IBE	IBERIA - LINEAS AEREAS DE ESPANA, SOCIEDAD ANONIMA OPERADORA - Spain	IBERIA
IBS	COMPANIA OPERADORA DE CORTO Y MEDIO RADIO IBERIA EXPRESS, S.A.U. - Spain	IBEREXPRES
IBX	IBEX AIRLINES CO., LTD - Japan	IBEX
ICE	ICELANDAIR - Iceland	ICEAIR
ICL	CAVEI AVIR LEMITANIM - Israel	CAL
IGO	INTERGLOBE AVIATION PRIVATE LTD (T/A INDIGO) - India	IFLY
IKM	AERO SURVEY LTD - Ghana	EASY SHUTTLE
INC	INSEL AIR INTERNATIONAL N.V. - Netherlands	INSELAIR
IRA	IRAN NATIONAL AIRLINES CORP. (IRAN AIR) - Iran (Islamic Republic of)	IRANAIR
IRB	IRAN AIR TOURS CO. - Iran (Islamic Republic of)	AIRTOUR
IRK	KISH AIR - Iran (Islamic Republic of)	KISHAIR
IRM	MAHAN AIR - Iran (Islamic Republic of)	MAHAN AIR
ISR	ISRAIR LTD - Israel	ISRAIR
ISS	MERIDIANA FLY S.P.A. - Italy	MERAIR
ISV	ISLENA DE INVERSIONES, S.A. - Honduras	-
IZM	IHY IZMIR HAVAYOLLARI A.S. - Turkey	IZMIR
JAI	JET AIRWAYS, M/S (INDIA) PVT LTD - India	JET AIRWAYS
JAL	JAPAN AIRLINES CO., LTD - Japan	JAPANAIR
JAV	JORDANIAN ENTERPRISE FOR AIR NAVIGATION AND AVIATION SERVICES (JATE) - JORDAN AVIATION - Jordan	JORDAN AVIATION
JBU	JETBLUE AIRWAYS CORPORATION (NEW YORK, NY) - United States of America	JETBLUE
JIA	JETSTREAM INTERNATIONAL AIRLINES (ERIE, PA) - United States of America	BLUE STREAK
JJA	JEJU AIR - Republic of Korea	JEJU AIR
JLL	JETLITE (INDIA) LTD - India	LITE JET
JNA	JIN AIR CO., LTD - Republic of Korea	JIN AIR
JSA	JETSTAR ASIA  AIRWAYS PTE LTD - Singapore	JETSTAR ASIA
JST	JETSTAR AIRWAYS PTY. LTD - Australia	JETSTAR
JTA	JAPAN TRANSOCEAN AIR CO., LTD. - Japan	JAI OCEAN
JTG	JET TIME A/S - Denmark	JETTIME
JZA	JAZZ AVIATION LP - Canada	JAZZ
JZR	JAZEERA AIRWAYS - Kuwait	JAZEERA
KAC	KUWAIT AIRWAYS CORPORATION - Kuwait	KUWAITI
KAL	KOREAN AIR LINES CO., LTD. - Republic of Korea	KOREANAIR
KAP	HYANNIS AIR SERVICE, INC. D/B/A CAPE AIR (HYANNIS,MA) - United States of America	CAIR
KEM	CEMAIR (PTY) LTD - South Africa	CEMAIR
KHV	CAMBODIA ANGKOR AIR - Cambodia	CAMBODIA AIR
KKK	ATLASJET HAVACILIK A.S. - Turkey	ATLASJET
KLC	KLM CITYHOPPER BV - Netherlands	CITY
KLM	KLM ROYAL DUTCH AIRLINES - Netherlands	KLM
KOR	AIR KORYO - Democratic People's Republic of Korea	AIR KORYO
KQA	KENYA AIRWAYS LTD. - Kenya	KENYA
KRP	CARPATAIR S.A. - Romania	CARPATAIR
KZR	AIR ASTANA - Kazakhstan	ASTANALINE
KZU	ULS AIRLINES CARGO - Turkey	UNIVERSAL CARGO
LAE	LINEA AEREA CARGUERA DE COLOMBIA S.A. - Colombia	+
LAM	LAM - LINHAS AEREAS DE MOCAMBIQUE - Mozambique	MOZAMBIQUE
LAN	LINEA AEREA NACIONAL DE CHILE (LAN) - Chile	LAN CHILE
LAO	LAO AIRLINES - Lao People's Democratic Republic	LAO
LAP	TRANSPORTES AEREOS DEL MERCOSUR S.A. - Paraguay	PARAGUAYA
LBT	NOUVEL AIR TUNISIE - Tunisia	NOUVELAIR
LCB	L.C. BUSRE SAC - Peru	BUSRE
LCO	LAN CARGO S.A. - Chile	LAN CARGO
LGL	LUXAIR - SOCIETE LUXEMBOURGEOISE  DE NAVIGATION AERIENNE S.A. - Luxembourg	LUXAIR
LGW	LGW-LUFTFAHRTGESELLSCHAFT WALTER MBH, DORTMUND - Germany	WALTER
LIA	LEEWARD ISLANDS AIR TRANSPORT (1974) LTD. - Antigua and Barbuda	LIAT
LKE	LUCKY AIR CO., LTD - China	LUCKY AIR
LMU	ALMASRIA UNIVERSAL AIRLINES - Egypt	ALMASRIA
